127.0.0.1 - - [19/Oct/2021:21:50:27 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:46:41 -0300] "GET /supermercado/pedidos HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:46:42 -0300] "GET /supermercado/pedidos HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:46:47 -0300] "GET /supermercado/operadores HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:46:51 -0300] "GET /supermercado/entregadores HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:47:01 -0300] "GET /supermercado/entregadores HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:47:07 -0300] "GET /supermercado/operadores HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:47:41 -0300] "GET /supermercado/pedidos HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:57:53 -0300] "GET /supermercado/pedidos HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:57:58 -0300] "GET /supermercado/pedidos HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:01:18 -0300] "GET /supermercado/itens HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:01:26 -0300] "GET /supermercado/itens HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:02:18 -0300] "GET /supermercado/itens HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:13:07 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:13:19 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:13:25 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:13:31 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:13:36 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:17:20 -0300] "GET /supermercado/itens HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:18:26 -0300] "GET /supermercado/itens HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:18:34 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:18:43 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:18:51 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:19:37 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:19:46 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:21:08 -0300] "GET /supermercado/itens HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:21:26 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:21:27 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:21:29 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:21:29 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:21:41 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:23:21:48 -0300] "POST /supermercado/produtos HTTP/1.1" 406 -
