0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:39:09 -0200] "DELETE /supermercado/clientes/2?idCliente=2 HTTP/1.1" 405 685
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:39:09 -0200] "DELETE /supermercado/clientes/2?idCliente=2 HTTP/1.1" 405 685
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:39:10 -0200] "DELETE /supermercado/clientes/2?idCliente=2 HTTP/1.1" 405 685
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:39:29 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:39:34 -0200] "DELETE /supermercado/clientes?idCliente=1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:39:36 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:39:42 -0200] "DELETE /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:40:33 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:41:21 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:41:34 -0200] "POST /supermercado/clientes HTTP/1.1" 500 1534
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:42:30 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:42:32 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:42:35 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:42:37 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:43:35 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:43:36 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:43:36 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:43:37 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:43:37 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:43:37 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:43:38 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:44:23 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:44:24 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:44:46 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:44:47 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:45:37 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:45:38 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:45:39 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:45:39 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:50:12 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:52:14 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:52:15 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:53:38 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:53:39 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:53:53 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:53:59 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:55:34 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:55:34 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:10:55:34 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:04:47 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:04:47 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:04:51 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:04:52 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:04:59 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
